species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,Regression,Source_ref,Notes,
Black Goby,Black Goby,Gobius niger,Gobiidae,Flesh,Weight (FW),FL,12.2,2.981123,6.7,15.6,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Ruffe,Ruffe,Gymnocephalus cernuus,Percidae,Otolith,Weight (FW),OW,0.68,3.49,1.9,3.6,Y=(aX)^b,Leopold et al. (2001),NA,
Ruffe,Ruffe,Gymnocephalus cernuus,Percidae,Flesh,Weight (FW),FL,9,3.1011,3.2,22.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Long Rough Dab,Long Rough Dab,Hippoglossoides platessoides,Pleuronectidae,Otolith,Weight (FW),OW,0.81,3.91,1.2,5.8,Y=(aX)^b,Leopold et al. (2001),NA,
American Plaice,Plaice,Hippoglossoides platessoides,Pleuronectidae,Flesh,Weight (FW),FL,2.57109,3.364845,10.5,28.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Lobster,Lobster,Homarus gammarus,Nephropidae,Flesh,Weight (FW),FL,10,3.2793,,,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Greater Sandeel,Great sandeel,Hyperoplus lanceolatus,Ammodytidae,Otolith,Weight (FW),OW,1.42,3.74,0.7,2.6,Y=(aX)^b,Leopold et al. (2001),NA,
Gobiidae,Gobiidae,Hyperoplus lanceolatus,Gobiidae,Flesh,Weight (FW),FL,12.2,2.981123,6.7,15.6,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,Gobius niger,
Labridae,Labridae,Labridae,Labridae,Otolith,Weight (FW),OL,0.695,4.205,2.2,6.2,Y=aX^b,Härkönen (1986),Labrus bergylta,
Wrasse Family,Wrasse,Labridae,Labridae,Flesh,Weight (FW),FL,10.6,3.127686,4.5,19.1,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Wrasse,Wrasse,Labrus bergylta,Labridae,Otolith,Weight (FW),OL,0.695,4.205,2.2,6.2,Y=aX^b,Härkönen (1986),NA,
Ballan Wrasse,Wrasse,Labrus bergylta,Labridae,Flesh,Weight (FW),FL,10,3.0412,10.5,42.5,W(g)=(a*10^-6* L(cm)^b) *1000,Kustlab,NA,
Fries's Goby,Fries's Goby,Leseurigobius friesii,Gobiidae,Flesh,Weight (FW),FL,39.2,2.13,4,8,W(g)=(a*10^-6* L(cm)^b) *1000,Fishbase Spain,NA,
Ide,Ide,Leuciscus idus,Cyprinidae,Otolith,Weight (FW),OW,1.08,4.19,1.2,5.5,Y=(aX)^b,Leopold et al. (2001),NA,
Ide,Ide,Leuciscus idus,Cyprinidae,Gillarch,Weight (FW),PL,0.28,3.36,5.5,34.2,Y=(aX)^b,Leopold et al. (2001),NA,
