species name (Eng)_maria,species name (Eng),Form_Taxon,Family,Form_Strukture,Goal_unit,Count_variabel,a,b,Min,Max,regression,Formula_Source,Note
Dab,Dab,Limanda limanda,Pleuronectidae,Otolith,Lenght (FL),OW,-5.4,8.88,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Haddock,Haddock,Melanogrammus aeglefinus,Gadidae,Otolith,Lenght (FL),OW,-4,6.99,1.6,6,Y=a+bX,Leopold et al. (2001),NA
Whiting,Whiting,Merlangius merlangus,Gadidae,Otolith,Lenght (FL),OW,-2.97,6.74,0.6,5.7,Y=a+bX,Leopold et al. (2001),NA
European hake,Hake,Merluccius merluccius,Merlucciidae,Otolith,Lenght (FL),OW,-5.61,7.18,1.3,10,Y=a+bX,Leopold et al. (2001),NA
Ling,Ling,Molva molva,Lotidae,Otolith,Lenght (FL),OL,-40.6,9.5731,0.9,1.3,Y=a+bX,Härkönen (1986),NA
Bull-rout,Shorthorn Sculpin,Myoxocephalus scorpius,Cottidae,Otolith,Lenght (FL),OW,-1.52,7.23,0.3,3.8,Y=a+bX,Leopold et al. (2001),NA
Round Goby,Round Goby,Neogobius melanostomus,Gobiidae,Otolith,Lenght (FL),OW,-0.8927,4.2037,0.5,3.3,Y=a+bX,Härkönen (1986),From balck goby Härkönen (1986)
European Smelt,Smelt,Osmerus eperlanus,Osmeridae,Otolith,Lenght (FL),OW,-4.29,7.51,0.8,4.2,Y=a+bX,Leopold et al. (2001),NA
European perch,Perch,Perca fluviatilis,Percidae,Otolith,Lenght (FL),OW,-3.21,7.3,1.3,6.1,Y=a+bX,Leopold et al. (2001),NA
Percidae,Percidae,Percidae,Percidae,Otolith,Lenght (FL),OW,-3.21,7.3,1.3,6.1,Y=a+bX,Leopold et al. (2001),Perca fluviatilis
Rock Gunnel or Butterfish,Rock Gunnel or Butterfish,Pholis gunellus,Pholidae,Otolith,Lenght (FL),OW,1.23,173.96,0.5,1,Y=a+bX,Härkönen (1986),NA
Butterfish,Butterfish,Pholis gunnellus,Pholidae,Otolith,Lenght (FL),OW,0,18.89,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Topknot or norwegian topknot,Norwegian topknot,Phrynorhombus norvegicus,Scophthalmidae,Otolith,Lenght (FL),OW,0,7.3,1,1.7,Y=a+bX,Leopold et al. (2001),NA
Topknot or norwegian topknot,Norwegian topknot,Phrynorhombus norvegicus,Scophthalmidae,Otolith,Lenght (FL),OL,0,5.5,1.4,2.4,Y=a+bX,Leopold et al. (2001),NA
Flounder,Flounder,Platichthys flesus,Pleuronectidae,Otolith,Lenght (FL),OW,-5.77,9.61,0.7,5,Y=a+bX,Leopold et al. (2001),NA
Plaice,Plaice,Pleuronectes platessa,Pleuronectidae,Otolith,Lenght (FL),OW,-4.7,8.15,0.4,5.8,Y=a+bX,Leopold et al. (2001),NA
Flatfish,Flatfish,Pleuronectidae,Pleuronectidae,Otolith,Lenght (FL),OW,-4.7525,8.315,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Pollack,Pollack,Pollachius pollachius,Gadidae,Otolith,Lenght (FL),OW,-9.98,9.98,1.2,8,Y=a+bX,Leopold et al. (2001),NA
Lumpfish,Lumpfish,Cyclopterus lumpus,Cyclopteridae,Otolith,Lenght (FL),OL,-7.09,16.11,0.6,1.1,Y=a+bX,Leopold et al. (2001),NA
Lumpfish,Lumpfish,Cyclopterus lumpus,Cyclopteridae,Otolith,Lenght (FL),OW,-16.05,39.85,0.3,1.1,Y=a+bX,Leopold et al. (2001),NA
Saithe,Saithe,Pollachius virens,Gadidae,Otolith,Lenght (FL),OW,-3.25,8.38,0.5,5.7,Y=a+bX,Leopold et al. (2001),NA
Sand Goby,Sand Goby,Pomatoschistus minutus,Gobiidae,Otolith,Lenght (FL),OW,-1.74,5.27,0.9,2.1,Y=a+bX,Leopold et al. (2001),NA
Painted Goby,Painted Goby,Pomatoschistus pictus,Gobiidae,Otolith,Lenght (FL),OW,-13,50,0.9,1,Y=a+bX,Härkönen (1986),NA
Pomatoschistus sp.,Pomatoschistus sp.,Pomatoschistus sp.,Gobiidae,Otolith,Lenght (FL),OW,-1.74,5.27,0.9,2.1,Y=a+bX,Leopold et al. (2001),Pomatoschistus minutus
Tadpole fish,Tadpole fish,Raniceps raninus,Gadidae,Otolith,Lenght (FL),OL,-2.037,2.296,7,13,Y=a+bX,Leopold et al. (2001),NA
Tadpole Fish,Tadpole Fish,Raniceps raninus,Gadidae,Otolith,Lenght (FL),OW,0,4.34,3.9,5.5,Y=a+bX,Leopold et al. (2001),NA
Common Roach,Roach,Rutilus rutilus,Cyprinidae,Otolith,Lenght (FL),OW,-2.48,7.66,1,3.4,Y=a+bX,Leopold et al. (2001),NA
Atlantic salmon,Atlantic salmon,Salmo salar,Salmonidae,Otolith,Lenght (FL),OL,-45.1,88.4,4.8,5.8,Y=a+bX,Härkönen (1986),NA
Brown Trout,Trout,Salmo trutta,Salmonidae,Otolith,Lenght (FL),OW,-19.3,22.32,1.5,3.9,Y=a+bX,Leopold et al. (2001),NA
Salmonidae,Salmonidae,Salmonidae,Salmonidae,Otolith,Lenght (FL),OW,-19.3,22.32,1.5,3.9,Y=a+bX,Leopold et al. (2001),NA
Zander,Pike-perch,Sander lucioperca,Percidae,Otolith,Lenght (FL),OW,-7.16,12.51,1.2,5.2,Y=a+bX,Leopold et al. (2001),NA
Rudd,Rudd,Scardinius erythrophthalmus,Cyprinidae,Otolith,Lenght (FL),OW,0,6.91,1.1,2.7,Y=a+bX,Leopold et al. (2001),NA
Turbot/Brill,Turbot/Brill,Scophthalmidae,Scophthalmidae,Otolith,Lenght (FL),OW,-2.215,8.715,NA,NA,Y=a+bX,Leopold et al. (2001),NA
Turbot ,Turbot ,Scophthalmus maximus,Scophthalmidae,Otolith,Lenght (FL),OW,-1.23,8.19,0.2,6.2,Y=a+bX,Leopold et al. (2001),NA
