haul_id,year,year_f,year_ct,quarter,quarter_f,survey,survey_f,lat,lon,X,Y,family,family_f,catch_kg_km2
2013_1_OXBH_1_22_57.5277_8.6722,2013,2013,0,1,1,IBTS,IBTS,57.52767,8.67217,121.382,6393.793,Other,Other,0.45255474452554745
2013_1_OXBH_1_22_57.5277_8.6722,2013,2013,0,1,1,IBTS,IBTS,57.52767,8.67217,121.382,6393.793,Pleuronectidae,Pleuronectidae,71.38686131386862
2013_1_OXBH_1_22_57.5277_8.6722,2013,2013,0,1,1,IBTS,IBTS,57.52767,8.67217,121.382,6393.793,Scombridae,Scombridae,0
2013_1_OXBH_1_23_57.6425_8.8307,2013,2013,0,1,1,IBTS,IBTS,57.6425,8.83067,132.013,6405.671,Clupeidae,Clupeidae,28.125000000000004
2013_1_OXBH_1_23_57.6425_8.8307,2013,2013,0,1,1,IBTS,IBTS,57.6425,8.83067,132.013,6405.671,Gadidae,Gadidae,1154.8579545454547
2013_1_OXBH_1_23_57.6425_8.8307,2013,2013,0,1,1,IBTS,IBTS,57.6425,8.83067,132.013,6405.671,Other,Other,3.028409090909091
2013_1_OXBH_1_23_57.6425_8.8307,2013,2013,0,1,1,IBTS,IBTS,57.6425,8.83067,132.013,6405.671,Pleuronectidae,Pleuronectidae,77.04829545454545
2013_1_OXBH_1_23_57.6425_8.8307,2013,2013,0,1,1,IBTS,IBTS,57.6425,8.83067,132.013,6405.671,Scombridae,Scombridae,0
2013_1_OXBH_1_24_57.779_8.7745,2013,2013,0,1,1,IBTS,IBTS,57.779,8.7745,130.066,6421.135,Clupeidae,Clupeidae,0.9234338747099768
2013_1_OXBH_1_24_57.779_8.7745,2013,2013,0,1,1,IBTS,IBTS,57.779,8.7745,130.066,6421.135,Gadidae,Gadidae,202.77494199535963
2013_1_OXBH_1_24_57.779_8.7745,2013,2013,0,1,1,IBTS,IBTS,57.779,8.7745,130.066,6421.135,Other,Other,33.7030162412993
2013_1_OXBH_1_24_57.779_8.7745,2013,2013,0,1,1,IBTS,IBTS,57.779,8.7745,130.066,6421.135,Pleuronectidae,Pleuronectidae,12.65429234338747
2013_1_OXBH_1_24_57.779_8.7745,2013,2013,0,1,1,IBTS,IBTS,57.779,8.7745,130.066,6421.135,Scombridae,Scombridae,0.6960556844547564
2013_1_OXBH_1_2_57.8945_9.8867,2013,2013,0,1,1,IBTS,IBTS,57.8945,9.88667,197.042,6428.428,Clupeidae,Clupeidae,318.2198581560284
2013_1_OXBH_1_2_57.8945_9.8867,2013,2013,0,1,1,IBTS,IBTS,57.8945,9.88667,197.042,6428.428,Gadidae,Gadidae,129.645390070922
