ACC nummer,Individnummer,Art,Provlämnare,Fynddatum,År,Kvartal,Månad,Insamlingsmetod,Insamlingskommentar,Minålder,Maxålder,Kön,Längd (cm),Vikt (kg),Späcktjocklek (cm),Provtyper,Cestoder,Nematoder,Hårddelar sparade,Lokal,Ort,Län,Landskap,Area 1,Area 2,Finskt nr,NRM kommentar,Käke i frys,Individkommentar,Fyndplatskommentar,Latitud,Longitud,Uppskattad position,DNA-prov vävnad,DNA-prov mage,DNA-prov tarm,DNA-prov spillning,Parasitbelastning - hakmask,Provdel - colon på burk,Provdel - lever,Provdel - mage,Provdel - muskel,Provdel - späck,Provdel - tarm,Sköts i närheten av fiskeredskap,Tom colon,Tom mage
KS_2024_22,KS_2024_22,knubbsäl,Egen insamling HLAB från svensk jakt,2024-03-12,2024,Q1,03,Jakt,,,,Hona,122.,40.,3,,,0-9,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_23,KS_2024_23,knubbsäl,Egen insamling HLAB från svensk jakt,2024-03-05,2024,Q1,03,Jakt,,,,Hane,114.,30.,3.5,,,0,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_28,KS_2024_28,knubbsäl,Egen insamling HLAB från svensk jakt,2024-02-17,2024,Q1,02,Jakt,,,,Hona,142.,70.,6.5,,,0-9,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.092587,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_29,KS_2024_29,knubbsäl,Egen insamling HLAB från svensk jakt,2024-02-08,2024,Q1,02,Jakt,,,,Hane,165.,70.,3.5,,,100-199,Ja,Syd Långö,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Syd Långö,58.93451,11.119881,Ja,Ja,,Ja,,,,,Ja,,,Ja,,,
A2014/05335,A2014/05335,knubbsäl,Naturhistoriska Riksmuseet,2014-05-10,2014,Q2,05,Jakt,"Skjuten, ej vid fiskeredskap",2,,Hane,130.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,"mage, tunntarm, colon på burk.","Skagerrak, koordinater: N 58 32 49,0 E 11 11 13,5(omvandlade till decimalminuter: N 58 32,8166 E 11 11,2250)",58.547,11.1871,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05336,A2014/05336,knubbsäl,Naturhistoriska Riksmuseet,2014-05-10,2014,Q2,05,Jakt,"Skjuten, ej vid fiskeredskap",2,,Hane,129.,,,,,0-9,,,,Västra Götalands län,,,,,,,"mage, tunntarm. Hakmask","Skagerrak, koordinater: N 58 32 49,0 E 11 11 13,5((omvandlade till decimalminuter: N 58 32,8166 E 11 11,2250))",58.547,11.1871,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2014/05337,A2014/05337,knubbsäl,Naturhistoriska Riksmuseet,2014-04-19,2014,Q2,04,Jakt,"Skjuten, ej vid fiskeredskap",15,,Hona,139.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,"mage, colon","Skagerrak, koordinater: N 58 35 2.5 E 11 10 17.9 (omvandlade till decimalminuter: N 58 35.04 E 11 10.29)",58.584,11.1716,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05407,A2014/05407,knubbsäl,Naturhistoriska Riksmuseet,2014-04-19,2014,Q2,04,Jakt,"Skjuten, ej intill fiskeredskap",10,,Hona,144.,,,,,200-499,Ja,,,Västra Götalands län,,,,,,,"mage, tarm, colon på burk. Blod i magen. 4 hela fiskar (10,5; 10; 10; 9) och 10 fiskar utan huvuden (8 cm).","Skagerrak, koodinater: N 58 35.25 E 11 10.179",58.5875,11.1697,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05409,A2014/05409,knubbsäl,Naturhistoriska Riksmuseet,2014-05-10,2014,Q2,05,Jakt,"Skjuten, ej vid fiskeredskap",7,,Hona,159.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,"mage, tunntarm, colon på burk.","Skagerrak, koodinater: N 58 32.490 E 11 11.135",58.5415,11.1856,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05457,A2014/05457,knubbsäl,Naturhistoriska Riksmuseet,2014-04-27,2014,Q2,04,Jakt,"Skjuten, ej intill fiskeredskap. Mage, tarm, colon på burk.",6,,Hona,147.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Styrsö, Strömstad, Skagerack. Koordinater: N 58 54.388 E 11 6.173",58.9065,11.1029,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2014/05459,A2014/05459,knubbsäl,Naturhistoriska Riksmuseet,2014-04-20,2014,Q2,04,Jakt,"Skjuten, ej intill fiskeredskap. Mage, tunntarm",6,,Hona,165.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,Skagerack. Koordinater: N 58 40.58 E 11 09.64,58.6763,11.1607,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2014/05462,A2014/05462,knubbsäl,Naturhistoriska Riksmuseet,2014-08-29,2014,Q3,08,Jakt,"Skjuten, ej intill fiskeredskap - Mage, tarm, colon på burk",5,,Hane,138.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Marstrands området, Kattegatt. Koordinater: N 57 53 E 11 33",57.8833,11.55,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05463,A2014/05463,knubbsäl,Naturhistoriska Riksmuseet,2014-08-29,2014,Q3,08,Jakt,"Skjuten, ej intill fiskeredskap",5,,Hona,123.,,,,,0,Ja,,,Västra Götalands län,,,,,,,"Mage, tunntarm. Hakmask","Marstrands området, Kattegatt. Koordinater: N 57 53 E 11 33",57.8833,11.55,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2012/05215,A2012/05215,knubbsäl,Naturhistoriska Riksmuseet,2011-03-04,2011,Q1,03,Fiske/Bifångst,"Bifångst i fiskeredskap, garn. Ej dietanalys",0,1,,105.,,,,,,,,,,,,,,,,,Utanför Malmö. inga koordinater angivna,55.637299,12.921295,Nej,,,,,,,,,,,,,,
A2012/05278,A2012/05278,knubbsäl,Naturhistoriska Riksmuseet,2011-12-30,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,7,,,152.,,,,,,,,,Västra Götalands län,,,,,,,,"Musö, Fjällbacka, N 58 38,195 E 11 14,505(position enl de angivna koordinater N 58 40 E 11 17 kan inte stämma, den ligger på land)",58.6366,11.2418,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05294,A2012/05294,knubbsäl,Naturhistoriska Riksmuseet,2011-12-19,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,5,,,143.,,,,,,,,,Västra Götalands län,,,,,,,,"Trillingarna, Skagerrak. Koordinater: N 58 16.351 E 11 20.239",58.2725,11.3373,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05335,A2012/05335,knubbsäl,Naturhistoriska Riksmuseet,2011-12-19,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,21,,,155.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, Brandskär, Lysekil. Koordinater: N 58 17.761 E 11 20.376",58.296,11.3396,Nej,,,,,,,,Ja,,,,,,
A2012/05347,A2012/05347,knubbsäl,Naturhistoriska Riksmuseet,2012-12-22,2012,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,19,,,165.,,,,,,,,,Västra Götalands län,,,,,,,,"Musö, Fjällbacka, Skagerrak. N 58 38 E 11 14",58.6333,11.2333,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05350,A2012/05350,knubbsäl,Naturhistoriska Riksmuseet,2011-12-30,2011,Q4,12,Jakt,Skjuten. Torrt material från Annika NRM,19,,,157.,,,,,,,,,Västra Götalands län,,,,,,,,"Musö, Fjällbacka, N 58 37 E 11 14",58.6667,11.1667,Nej,,,,,,,,,,,Ja,,,
A2012/05367,A2012/05367,knubbsäl,Naturhistoriska Riksmuseet,2011-10-25,2011,Q4,10,Jakt,Skjuten. Torrt material från Annika NRM,2,,,114.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 38 E 11 12",57.5667,11.8833,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05368,A2012/05368,knubbsäl,Naturhistoriska Riksmuseet,2011-11-13,2011,Q4,11,Jakt,Skjuten. Torrt material från Annika NRM,19,,,,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 38 E 11 12",57.2667,12.05,Nej,,,,,,,,Ja,,,Ja,,,
A2012/05775,A2012/05775,knubbsäl,Naturhistoriska Riksmuseet,2012-03-14,2012,Q1,03,Jakt,Skjuten. Torrt material från Annika NRM,9,,,170.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, Lövö, N 58 12.223 E 11 30.188",58.2037,11.5015,Nej,,,,,,,,,,,Ja,,,
A2013/05251,A2013/05251,knubbsäl,Naturhistoriska Riksmuseet,2013-05-22,2013,Q2,05,Jakt,Skjuten. Saknar provdelar.,3,,,142.,,,,,,,,,,,,,,,,,"Håskär, Skagerrak, N 58 22.011 E 11 11.302",58.3667,11.1883,Nej,,,,,,,,,,,,,,
A2013/05252,A2013/05252,knubbsäl,Naturhistoriska Riksmuseet,2013-05-22,2013,Q2,05,Jakt,"Skjuten. Mage, tarm",4,,Hane,135.,,,,,50-99,Ja,,,Västra Götalands län,,,,,,,,"Håskär, Skagerrak, N 58 22.011 E 11 11.302",58.3667,11.1883,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05255,A2013/05255,knubbsäl,Naturhistoriska Riksmuseet,2012-08-31,2012,Q3,08,Jakt,Skjuten,9,,Hona,137.,,,,,0,Nej,,,Västra Götalands län,,,,,,,"mage, tunntarm","V om Fjällbacka, Rännedörjan (?), Skagerrak, N 58 37 E 11 12",58.3833,11.2,Nej,Ja,,Ja,,,,,,,,,,Ja,Ja
A2013/05256,A2013/05256,knubbsäl,Naturhistoriska Riksmuseet,2012-08-31,2012,Q3,08,Jakt,"Skjuten. Mage, tarm.",0,1,,87.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,3 räkor. Lining of colon - white sandgrain sized hard specs througout,"Rännedörj (?), Skagerrak, N 58 37 E 11 12",58.3833,11.2,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05257,A2013/05257,knubbsäl,Naturhistoriska Riksmuseet,2013-05-03,2013,Q2,05,Jakt,"Skjuten vid ostronkassar. Mage, tarm, colon på burk",6,,Hane,160.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 46 E 11 10",58.6333,11.2,Nej,Ja,,Ja,,Ja,,,,,,,,,Ja
A2013/05259,A2013/05259,knubbsäl,Naturhistoriska Riksmuseet,2012-08-31,2012,Q3,08,Jakt,Skjuten. Torrt material från Annika NRM,1,,,112.,,,,,,,,,Västra Götalands län,,,,,,,,"V om Fjällbacka, Rännedörj, Skagerrak, N 58 37 E 11 12",58.6167,11.2,Nej,,,,,,,,Ja,,,Ja,,,
A2013/05262,A2013/05262,knubbsäl,Naturhistoriska Riksmuseet,2012-10-01,2012,Q4,10,Jakt,Skjuten. Saknar provdelar,1,,,118.,,,,,,,,,,,,,,,,,"Skagerrak, N om Havstenssund, Ystholmen, N 58 46.376 E 11 09.978",58.3833,11.2,Nej,,,,,,,,,,,,,,
A2013/05269,A2013/05269,knubbsäl,Naturhistoriska Riksmuseet,2013-08-01,2013,Q3,08,Jakt,"Skjuten intill fiskeredskap, kräftbur. Mage, tarm, colon på burk",9,,Hona,127.,,,,,100-199,Ja,,,Västra Götalands län,,,,,,,Crustacea,"Väst Håskär, Smögen, Skagerrak, N 58 21 E 11 10",58.3667,11.1667,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05270,A2013/05270,knubbsäl,Naturhistoriska Riksmuseet,2013-09-16,2013,Q3,09,Jakt,Skjuten (ej vid redskap),0,1,,101.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 59 E 11 08",58.35,11.1667,Nej,,,Ja,,Ja,Ja,,Ja,,,Ja,,,Ja
A2013/05494,A2013/05494,knubbsäl,Naturhistoriska Riksmuseet,2013-09-18,2013,Q3,09,Jakt,"Skjuten. Mage, tarm, colon på burk",1,,Hona,102.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Striddan, Grebbestad, Skagerrak, koordinater: N 58 38.470 E 11 10.523",58.641167,11.175383,Nej,Ja,,Ja,,Ja,,,,,,,,,Ja
A2013/05495,A2013/05495,knubbsäl,Naturhistoriska Riksmuseet,2013-09-16,2013,Q3,09,Jakt,"Skjuten, EJ vid redskap",2,,,105.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Skagerrak, koordinater: N 58 59 E 11 08",58.6418,11.13,Nej,,,Ja,,,,,Ja,,,Ja,,Ja,
A2013/05496,A2013/05496,knubbsäl,Naturhistoriska Riksmuseet,2013-09-18,2013,Q3,09,Jakt,Skjuten,17,,Hona,130.,,,,,100-199,Ja,,,Västra Götalands län,,,,,,,"mage, tunntarm, colon på burk","Hummerskären, Grebbestad, Skagerrak, koordinater: N 58 38.174 E 11 12.713",58.63623333,11.21188333,Nej,Ja,,Ja,,,,,,,,,,,
KS_2024_18,KS_2024_18,knubbsäl,Egen insamling HLAB från svensk jakt,2024-03-25,2024,Q1,03,Jakt,,,,Hona,154.,60.,3,,,10-49,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_19,KS_2024_19,knubbsäl,Egen insamling HLAB från svensk jakt,2024-03-12,2024,Q1,03,Jakt,,,,Hona,117.,30.,3,,,0-9,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,,,
KS_2024_20,KS_2024_20,knubbsäl,Egen insamling HLAB från svensk jakt,2024-02-17,2024,Q1,02,Jakt,,,,Hane,112.,30.,3,,,0-9,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,,,
KS_2024_24,KS_2024_24,knubbsäl,Egen insamling HLAB från svensk jakt,2024-03-05,2024,Q1,03,Jakt,,,,Hona,154.,70.,4,,,100-199,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,Ja
KS_2024_27,KS_2024_27,knubbsäl,Egen insamling HLAB från svensk jakt,2024-02-26,2024,Q1,02,Jakt,,,,Hane,120.,40.,3.5,,,50-99,Ja,Syd Långö,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Syd Långö,58.935396,11.120396,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
A2013/05497,A2013/05497,knubbsäl,Naturhistoriska Riksmuseet,2013-09-16,2013,Q3,09,Jakt,"Skjuten, EJ vid redskap",1,,Hane,118.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,"mage, tunntarm","Skagerrak, koordinater: N 58 59 E 11 08",58.9833,11.1333,Nej,Ja,,Ja,,,,,,,,,,,
A2013/05498,A2013/05498,knubbsäl,Naturhistoriska Riksmuseet,2013-09-17,2013,Q3,09,Jakt,Skjuten,10,,,134.,,,,,50-99,Ja,,,Västra Götalands län,,,,,,,,"Äggran, V Grebbestad, Skagerrak, koordinater: N 58 39.768 E 11 10.591",58.6628,11.1765,Nej,,,Ja,,Ja,,,Ja,,,Ja,,,
A2013/05499,A2013/05499,knubbsäl,Naturhistoriska Riksmuseet,2013-09-19,2013,Q3,09,Jakt,"Skjuten, ej vid redskap. Mage, tarm",0,1,Okänd,80.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Skagerrak, mellan Skytte-Skären, koordinater: N 58 22.062 E 11 11.843",58.367,11.1974,Nej,Ja,,Ja,,,,,,,,,,,
A2013/05500,A2013/05500,knubbsäl,Naturhistoriska Riksmuseet,2013-09-19,2013,Q3,09,Jakt,"Skjuten, ej vid redskap. - Mage, tarm",1,,,112.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,,"Smögen, mellan Skytteskären Skagerrak, koordinater: N 58 22.062 E 11 11.843",58.367,11.1974,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05501,A2013/05501,knubbsäl,Naturhistoriska Riksmuseet,2013-09-29,2013,Q3,09,Jakt,"Skjuten, EJ vid redskap. Mage, tarm",5,,Hona,145.,,,,,50-99,Ja,,,Västra Götalands län,,,,,,,Signs of pathology stomach tissue,"Lilla Åsta, Skagerrak, koordinater: N 58 19.433 E 11 13.726",58.3238,11.2288,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05502,A2013/05502,knubbsäl,Naturhistoriska Riksmuseet,2013-09-18,2013,Q3,09,Jakt,"Skjuten - Mage, tarm",0,1,,102.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,colon möjligtvis tom,"Äggran, Grebbedtad, Skagerrak, koordinater: N 58 39.680 E 11 10.847",58.6613,11.1808,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2013/05503,A2013/05503,knubbsäl,Naturhistoriska Riksmuseet,2013-09-20,2013,Q3,09,Jakt,Skjuten,10,,,159.,,,,,50-99,Ja,,,Västra Götalands län,,,,,,,,"Stritan, Fjällbacka, Skagerrak, N 58 38 E 11 11",58.6333,11.1833,Nej,,,Ja,,Ja,,,Ja,,,Ja,,,
A2013/05570,A2013/05570,knubbsäl,Naturhistoriska Riksmuseet,2013-10-16,2013,Q4,10,Fiske/Bifångst,"Bifångst i fiskeredskap, torskbur. Torrt material från Annika NRM",3,,,133.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, N 58 50.3 E 10 59.9",58.8383,10.9983,Nej,,,,,,,,Ja,,,Ja,,,
A2013/05588,A2013/05588,knubbsäl,Naturhistoriska Riksmuseet,2013-11-18,2013,Q4,11,Jakt,"Skjuten, ej vid redskap. Saknar provdelar",5,,,132.,,,,,,,,,,,,,,,,,"Lindholmen, Stenungsunds kommun, Skagerrak, N 58 1,184 E 11 47.544",58.0307,11.7924,Nej,,,,,,,,,,,,,,
A2013/05593,A2013/05593,knubbsäl,Naturhistoriska Riksmuseet,2013-10-26,2013,Q4,10,Jakt,Skjuten. Saknar provdelar,0,1,,98.,,,,,,,,,,,,,,,,,"Skagerrak, Ramsö, N 58 50 E 11 04",58.8333,11.0667,Nej,,,,,,,,,,,,,,
A2014/05012,A2014/05012,knubbsäl,Naturhistoriska Riksmuseet,2013-11-21,2013,Q4,11,Jakt,"Skjuten, ej vid fiskeredskap. Torrt material från Annika NRM",17,,,160.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak. Lilla Dagholmen (Dagsholmen, enl. karta). Koordinater: N 58 0.081 E 11 46.991",58.0014,11.7832,Nej,,,,,,,,Ja,,,Ja,,,
A2014/05014,A2014/05014,knubbsäl,Naturhistoriska Riksmuseet,2013-10-13,2013,Q4,10,Jakt,"Skjuten, ej vid redskap. Torrt material från Annika NRM",9,,,170.,,,,,,,,,Västra Götalands län,,,,,,,,Koordinater: N 58 35.076 E 11 10.815,58.5846,11.1803,Nej,,,,,,,,Ja,,,,,,
A2014/05015,A2014/05015,knubbsäl,Naturhistoriska Riksmuseet,2013-10-13,2013,Q4,10,Jakt,"Skjuten, ej vid redskap. 
Torrt material från Annika NRM",2,,,135.,,,,,,,,,Västra Götalands län,,,,,,,,Koordinater: N 58 35.076 E 11 10.815,58.5846,11.1803,Nej,,,,,,,,Ja,,,,,,
A2014/05016,A2014/05016,knubbsäl,Naturhistoriska Riksmuseet,2013-10-13,2013,Q4,10,Jakt,"Skjuten, ej vid redskap. Torrt material från Annika NRM",4,,,155.,,,,,,,,,Västra Götalands län,,,,,,,,Koordinater: N 58 35.076 E 11 10.815,58.5846,11.1803,Nej,,,,,,,,Ja,,,Ja,,,
A2014/05017,A2014/05017,knubbsäl,Naturhistoriska Riksmuseet,2013-10-13,2013,Q4,10,Jakt,"Skjuten, ej vid redskap. Torrt material från Annika NRM",10,,,165.,,,,,,,,,Västra Götalands län,,,,,,,,Koordinater: N 58 35.076 E 11 10.815,58.5846,11.1803,Nej,,,,,,,,Ja,,,Ja,,,
A2014/05019,A2014/05019,knubbsäl,Naturhistoriska Riksmuseet,2013-10-13,2013,Q4,10,Jakt,"Skjuten, ej intill fiskeredskap. Torrt material från Annika NRM",2,,,138.,,,,,,,,,Västra Götalands län,,,,,,,,"Skagerrak, koordinater N 58 35.076 E 11 10.815",58.5846,11.1803,Nej,,,,,,,,Ja,,,,,,
A2014/05093,A2014/05093,knubbsäl,Naturhistoriska Riksmuseet,2013-11-20,2013,Q4,11,Jakt,Skjuten. Torrt material från Annika NRM,2,,,119.,,,,,,,,,Västra Götalands län,,,,,,,,"Håskär, V Smögen, koordinater: N 58 21 996 E 11 11.182",58.35,11.1864,Nej,,,,,,,,Ja,,,,,,
A2014/05111,A2014/05111,knubbsäl,Naturhistoriska Riksmuseet,2013-11-29,2013,Q4,11,Jakt,"Skjuten. Mage, tarm, colon på burk",2,,Hona,125.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Ystholmen, Havstensund, Skagerack. Koordinater: N 58 46 E 11 10",58.7665,11.168035,Nej,Ja,,Ja,,,,,,,,,,,Ja
A2014/05113,A2014/05113,knubbsäl,Naturhistoriska Riksmuseet,2013-11-29,2013,Q4,11,Jakt,"Skjuten, ej intill fiskeredskap. Mage, tunntarm, colon på burk",1,,Hona,110.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,"OBS! burk sönder. ålgräs, tång, belone ben","Musön, Fjällbacka, Skagerack. Koordinater: N 58 38.009 E 11 14.396",58.628183,11.238317,Nej,Ja,,Ja,,Ja,,,,,,,,,
A2014/05114,A2014/05114,knubbsäl,Naturhistoriska Riksmuseet,2013-11-29,2013,Q4,11,Jakt,"Skjuten. Mage, tarm, colon på burk",15,,Hona,144.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Ystholmen, Skagerack. Koordinater: N 58 46.388 E 11 9.987",58.628183,11.238317,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05115,A2014/05115,knubbsäl,Naturhistoriska Riksmuseet,2013-11-29,2013,Q4,11,Jakt,"Skjuten. Mage, tarm",2,,Hane,122.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,Intestine; white sand-grained sized hard specs.,"Ystholmen, Skagerack. Koordinater: N 58 46.388 E 11 9.987",58.628183,11.238317,Nej,Ja,,Ja,,Ja,,,,,,,,,Ja
A2014/05117,A2014/05117,knubbsäl,Naturhistoriska Riksmuseet,2013-11-25,2013,Q4,11,Jakt,"Skjuten, ej intill fiskeredskap. Torrt material från Annika NRM",4,,,145.,,,,,,,,,Västra Götalands län,,,,,,,,"Kattegatt, X och Y Kordinater: X 6418072 Y 1251394",57.282,12.0191,Nej,,,,,,,,Ja,,,,,,
A2014/05123,A2014/05123,knubbsäl,Naturhistoriska Riksmuseet,2013-11-29,2013,Q4,11,Jakt,"Skjuten, ej intill fiskeredskap. Mage, tunntarm",4,,Hona,132.,,,,,50-99,Ja,,,Västra Götalands län,,,,,,,,"Musön, Fjällbacka, Skagerack. Koordinater: N 58 37.691 E 11 14.299",58.628183,11.238317,Nej,Ja,,Ja,,,,,,,,,,,
A2014/05124,A2014/05124,knubbsäl,Naturhistoriska Riksmuseet,2013-11-29,2013,Q4,11,Jakt,"Skjuten, ej intill fiskeredskap",0,1,Hona,100.,,,,,0-9,Nej,,,Västra Götalands län,,,,,,,"mage, tunntarm","Musön, Fjällbacka, Skagerack. Koordinater: N 58 37.691 E 11 14.299",58.628183,11.238317,Nej,Ja,,Ja,,,,,,,,,,Ja,Ja
A2014/05126,A2014/05126,knubbsäl,Naturhistoriska Riksmuseet,2013-11-29,2013,Q4,11,Jakt,"Skjuten, ej intill fiskeredskap. Torrt material från Annika NRM",2,,,110.,,,,,,,,,Västra Götalands län,,,,,,,,"Musön, Fjällbacka, Skagerack. Koordinater: N 58 37.691 E 11 14.299",58.628183,11.238317,Nej,,,,,,,,Ja,,,,,,
A2014/05127,A2014/05127,knubbsäl,Naturhistoriska Riksmuseet,2013-11-10,2013,Q4,11,Jakt,"Skjuten. Mage, tarm colon på burk",13,,Hane,139.,,,,,10-49,Ja,,,Västra Götalands län,,,,,,,,"Kattegatt, Marstrand, koordinater: N 57 53.191 E 11 33.626",57.8865,11.5604,Nej,Ja,,Ja,,Ja,,,,,,,,,Ja
A2014/05128,A2014/05128,knubbsäl,Naturhistoriska Riksmuseet,2013-11-10,2013,Q4,11,Jakt,Skjuten. Torrt material från Annika NRM,26,,,147.,,,,,,,,,Västra Götalands län,,,,,,,,"Kattegatt, Marstrand, koordinater: N 57 53.191 E 11 33.626",57.8865,11.5604,Nej,,,,,,,,Ja,,,,,,
A2014/05129,A2014/05129,knubbsäl,Naturhistoriska Riksmuseet,2013-11-22,2013,Q4,11,Jakt,"Skjuten, ej vid fiskeredskap. Torrt material från Annika NRM",9,,,155.,,,,,,,,,Västra Götalands län,,,,,,,,"Marstrand, VG, Kattegatt. Koordinater: N 57 53.191 E 11 33.626",57.8865,11.5604,Nej,,,,,,,,,,,Ja,,,
A2014/05130,A2014/05130,knubbsäl,Naturhistoriska Riksmuseet,2013-11-22,2013,Q4,11,Jakt,"Skjuten, ej vid fiskeredskap. Mage, tarm, colon på burk",18,,Hane,162.,,,,,0-9,Ja,,,Västra Götalands län,,,,,,,,"Marstrtand, VG, Kattegatt. Koordinater: N 57 53.353 E 11 33.374",57.8892,11.5562,Nej,Ja,,Ja,,,,,,,,,,,
KS_2024_21,KS_2024_21,knubbsäl,Egen insamling HLAB från svensk jakt,2024-04-03,2024,Q2,04,Jakt,,,,Hona,152.,60.,4,,,0-9,Ja,Bölskären,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Bölskären,58.947618,11.093702,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_25,KS_2024_25,knubbsäl,Egen insamling HLAB från svensk jakt,2024-02-13,2024,Q1,02,Jakt,,,,Hona,142.,50.,4,,,50-99,Ja,Halsörholmen,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Halsörholmen,58.927689,11.128292,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
KS_2024_30,KS_2024_30,knubbsäl,Egen insamling HLAB från svensk jakt,2024-01-29,2024,Q1,01,Jakt,,,,Hona,140.,50.,4,,,100-199,Ja,Yttre Burholmen,Strömstad,Västra Götalands län,,,,,,Ja,Uppskattad vikt,Yttre Burholmen,58.90008,11.110525,Ja,Ja,,Ja,,,,,Ja,,,Ja,Nej,,
A2014/05133,A2014/05133,knubbsäl,Naturhistoriska Riksmuseet,2013-09-28,2013,Q3,09,Jakt,"Skjuten, ej intill fiskeredskap",16,,Hane,139.,,,,,10-49,Nej,,,Västra Götalands län,,,,,,,"mage, tunntarm, colon på burk. Hakmask. Tom mage, tom tarm","Kattegatt, Marstrand, koordinater: N 57 53.353 E 11 33.374",57.8892,11.5562,Nej,Ja,,Ja,,Ja,,,,,,,,Ja,Ja
