Sample ID,Sample from,Subarea,Prey species (Eng),Prey remain,Left otolith,Right otolith,Wear class,n,Magnification,Otolith width lupp,Otolith length lupp,Otolith width (mm),Otolith length  (mm),Prey length measured (cm),Notes,Prey species (Eng),Family,Scientific Name
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,3,1,NA,NA,NA,1.97,2.836,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,3,1,NA,NA,NA,1.982,2.836,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,3,1,NA,NA,NA,1.917,2.836,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Black Goby,otolith,NA,NA,3,1,NA,NA,NA,2.043,2.836,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,stomach,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.812,2.957,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_01,stomach,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.849,2.983,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_01,stomach,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.673,2.366,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_01,stomach,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.666,2.37,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_01,stomach,O-Län,Eel,whole fish,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1 whole fish Eel FL= 45 cm and 1 Eel without head FL= 34 cm,European Eel,Anguillidae,Anguilla anguilla
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.453,3.374,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.14,2.957,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.341,3.319,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.033,2.893,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.039,2.674,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,1.942,2.637,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,2.041,2.886,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,2,1,NA,NA,NA,1.918,2.607,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Black Goby,otolith,NA,NA,3,1,NA,NA,NA,1.592,2.139,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_01,colon,O-Län,Cottidae,otolith,NA,NA,3,1,NA,NA,NA,1.427,2.703,NA,NA,Sculpins,Cottidae,Cottidae
KS_2024_03,stomach,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.592,2.421,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_03,stomach,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.624,2.26,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_03,stomach,O-Län,Black Goby,otolith,NA,NA,3,1,NA,NA,NA,1.768,2.688,NA,NA,Black Goby,Gobiidae,Gobius niger
KS_2024_03,colon,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.825,3.03,NA,NA,European Eel,Anguillidae,Anguilla anguilla
KS_2024_03,colon,O-Län,Eel,otolith,NA,NA,1,1,NA,NA,NA,1.772,2.439,NA,NA,European Eel,Anguillidae,Anguilla anguilla
